Klasa;Kategoria;Podkategoria;Usługa / Produkt;Cena OD;Jednostka;Dodatki;Uwagi
Usługi;Regulacja;Okna;Regulacja standardowa skrzydła okiennego;40;zł;;
Usługi;Regulacja;Okna;Regulacja z czyszczeniem i smarowaniem;60;zł;;
Usługi;Regulacja;Okna;Regulacja okien balkonowych;65;zł;;
Usługi;Regulacja;Okna;Regulacja z przywracaniem geometrii;150;zł;;
Usługi;Regulacja;Okna;Zaawansowana regulacja ze zdejmowaniem skrzydła;99;zł;;
Usługi;Regulacja;Okna;Regulacja okien przesuwnych PSK/HS;250;zł;;
Usługi;Regulacja;Drzwi;Regulacja drzwi wewnętrznych;60;zł;;
Usługi;Regulacja;Drzwi;Regulacja drzwi zewnętrznych;180;zł;;
Usługi;Regulacja;Drzwi;Regulacja drzwi balkonowych;65;zł;;
Usługi;Regulacja;Drzwi;Regulacja drzwi PCV;99;zł;;
Usługi;Regulacja;Drzwi;Regulacja drzwi;150;zł;;
Usługi;Regulacja;Drzwi;Regulacja bramy garażowej;350;zł;;
Usługi;Naprawa;Okna;Naprawa okien PCV;75;zł;;Według typu okna
Usługi;Naprawa;Okna;Naprawa okien drewnianych;99;zł;;Według typu okna
Usługi;Naprawa;Okna;Naprawa okien aluminiowych;99;zł;;Według typu okna
Usługi;Naprawa;Drzwi;Naprawa drzwi balkonowych;65;zł;;Według typu okna
Usługi;Naprawa;Okna;Naprawa mechanizmu otwierania;65;zł;;Według zakresu naprawy
Usługi;Naprawa;Okna;Naprawa/wymiana klamki;39;zł;;Według zakresu naprawy
Usługi;Naprawa;Okna;Naprawa zawiasów;200;zł;;Według zakresu naprawy
Usługi;Naprawa;Okna;Naprawa zamka;60;zł;;Według zakresu naprawy
Usługi;Naprawa;Okna;Usunięcie obluzowania szyby;99;zł;;Według zakresu naprawy
Usługi;Naprawa;Okna;Naprawa mikrowentylacji;40;zł;;Według zakresu naprawy
Usługi;Naprawa;Okna;Wymiana szyby w oknie PCV;69;zł;;
Usługi;Naprawa;Okna;Wymiana szyby w oknie drewnianym;128;zł;;
Usługi;Naprawa;Okna;Wymiana szyby w oknie aluminiowym;135;zł;;
Usługi;Naprawa;Drzwi;Wymiana szyby w drzwiach drewnianych;250;zł;;
Usługi;Naprawa;Drzwi;Wymiana szyby w drzwiach aluminiowych;210;zł;;
Usługi;Naprawa;Drzwi;Wymiana szyby w drzwiach przesuwnych;250;zł;;
Produkty;Szyby;Pakiety szybowe;Szyba zespolona 1-komorowa (4-16-4);250;za sztukę;;
